,OBJECTID,Codigo,Texto,Total_2017,Total_2016,Total_2015,Total_2014,Total_2013,Total_2012,Total_2011,Total_2010,Total_2009,Total_2008,Total_2007,Total_2006,Total_2005,Total_2004,Total_2003,Total_2002,Total_2001,Total_2000,Total_1999,Sociedad_Anonima_2017,Sociedad_Anonima_2016,Sociedad_Anonima_2015,Sociedad_Anonima_2014,Sociedad_Anonima_2013,Sociedad_Anonima_2012,Sociedad_Anonima_2011,Sociedad_Anonima_2010,Sociedad_Anonima_2009,Sociedad_Anonima_2008,Sociedad_Anonima_2007,Sociedad_Anonima_2006,Sociedad_Anonima_2005,Sociedad_Anonima_2004,Sociedad_Anonima_2003,Sociedad_Anonima_2002,Sociedad_Anonima_2001,Sociedad_Anonima_2000,Sociedad_Anonima_1999,Sociedades_responsabilidad-limitada_2017,Sociedades_responsabilidad-limitada_2016,Sociedades_responsabilidad-limitada_2015,Sociedades_responsabilidad-limitada_2014,Sociedades_responsabilidad-limitada_2013,Sociedades_responsabilidad-limitada_2012,Sociedades_responsabilidad-limitada_2011,Sociedades_responsabilidad-limitada_2010,Sociedades_responsabilidad-limitada_2009,Sociedades_responsabilidad-limitada_2008,Sociedades_responsabilidad-limitada_2007,Sociedades_responsabilidad-limitada_2006,Sociedades_responsabilidad-limitada_2005,Sociedades_responsabilidad-limitada_2004,Sociedades_responsabilidad-limitada_2003,Sociedades_responsabilidad-limitada_2002,Sociedades_responsabilidad-limitada_2001,Sociedades_responsabilidad-limitada_2000,Sociedades_responsabilidad-limitada_1999,Sociedades_colectivas_2017,Sociedades_colectivas_2016,Sociedades_colectivas_2015,Sociedades_colectivas_2014,Sociedades_colectivas_2013,Sociedades_colectivas_2012,Sociedades_colectivas_2011,Sociedades_colectivas_2010,Sociedades_colectivas_2009,Sociedades_colectivas_2008,Sociedades_colectivas_2007,Sociedades_colectivas_2006,Sociedades_colectivas_2005,Sociedades_colectivas_2004,Sociedades_colectivas_2003,Sociedades_colectivas_2002,Sociedades_colectivas_2001,Sociedades_colectivas_2000,Sociedades_colectivas_1999,Sociedades_comanditarias_2017,Sociedades_comanditarias_2016,Sociedades_comanditarias_2015,Sociedades_comanditarias_2014,Sociedades_comanditarias_2013,Sociedades_comanditarias_2012,Sociedades_comanditarias_2011,Sociedades_comanditarias_2010,Sociedades_comanditarias_2009,Sociedades_comanditarias_2008,Sociedades_comanditarias_2007,Sociedades_comanditarias_2006,Sociedades_comanditarias_2005,Sociedades_comanditarias_2004,Sociedades_comanditarias_2003,Sociedades_comanditarias_2002,Sociedades_comanditarias_2001,Sociedades_comanditarias_2000,Sociedades_comanditarias_1999,Comunidades_de_bienes_2017,Comunidades_de_bienes_2016,Comunidades_de_bienes_2015,Comunidades_de_bienes_2014,Comunidades_de_bienes_2013,Comunidades_de_bienes_2012,Comunidades_de_bienes_2011,Comunidades_de_bienes_2010,Comunidades_de_bienes_2009,Comunidades_de_bienes_2008,Comunidades_de_bienes_2007,Comunidades_de_bienes_2006,Comunidades_de_bienes_2005,Comunidades_de_bienes_2004,Comunidades_de_bienes_2003,Comunidades_de_bienes_2002,Comunidades_de_bienes_2001,Comunidades_de_bienes_2000,Comunidades_de_bienes_1999,Sociedades_Cooperativas_2017,Sociedades_Cooperativas_2016,Sociedades_Cooperativas_2015,Sociedades_Cooperativas_2014,Sociedades_Cooperativas_2013,Sociedades_Cooperativas_2012,Sociedades_Cooperativas_2011,Sociedades_Cooperativas_2010,Sociedades_Cooperativas_2009,Sociedades_Cooperativas_2008,Sociedades_Cooperativas_2007,Sociedades_Cooperativas_2006,Sociedades_Cooperativas_2005,Sociedades_Cooperativas_2004,Sociedades_Cooperativas_2003,Sociedades_Cooperativas_2002,Sociedades_Cooperativas_2001,Sociedades_Cooperativas_2000,Sociedades_Cooperativas_1999,Asociaciones_y_otros_2017,Asociaciones_y_otros_2016,Asociaciones_y_otros_2015,Asociaciones_y_otros_2014,Asociaciones_y_otros_2013,Asociaciones_y_otros_2012,Asociaciones_y_otros_2011,Asociaciones_y_otros_2010,Asociaciones_y_otros_2009,Asociaciones_y_otros_2008,Asociaciones_y_otros_2007,Asociaciones_y_otros_2006,Asociaciones_y_otros_2005,Asociaciones_y_otros_2004,Asociaciones_y_otros_2003,Asociaciones_y_otros_2002,Asociaciones_y_otros_2001,Asociaciones_y_otros_2000,Asociaciones_y_otros_1999,Organismos_autonomos_y_otros_2017,Organismos_autonomos_y_otros_2016,Organismos_autonomos_y_otros_2015,Organismos_autonomos_y_otros_2014,Organismos_autonomos_y_otros_2013,Organismos_autonomos_y_otros_2012,Organismos_autonomos_y_otros_2011,Organismos_autonomos_y_otros_2010,Organismos_autonomos_y_otros_2009,Organismos_autonomos_y_otros_2008,Organismos_autonomos_y_otros_2007,Organismos_autonomos_y_otros_2006,Organismos_autonomos_y_otros_2005,Organismos_autonomos_y_otros_2004,Organismos_autonomos_y_otros_2003,Organismos_autonomos_y_otros_2002,Organismos_autonomos_y_otros_2001,Organismos_autonomos_y_otros_2000,Organismos_autonomos_y_otros_1999,Personas_fisicas_2017,Personas_fisicas_2016,Personas_fisicas_2015,Personas_fisicas_2014,Personas_fisicas_2013,Personas_fisicas_2012,Personas_fisicas_2011,Personas_fisicas_2010,Personas_fisicas_2009,Personas_fisicas_2008,Personas_fisicas_2007,Personas_fisicas_2006,Personas_fisicas_2005,Personas_fisicas_2004,Personas_fisicas_2003,Personas_fisicas_2002,Personas_fisicas_2001,Personas_fisicas_2000,Personas_fisicas_1999,cod,Shape__Area,Shape__Length
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1
","01
","Araba/Álava
","18518
","20034
","19548
","19652
","20121
","20644
","21192
","21675
","21988
","22318
","20676
","20349
","19838
","19779
","19638
","19310
","19011
","19046
","18384
","828
","904
","907
","960
","1029
","1118
","1154
","1188
","1222
","1281
","1281
","1322
","1365
","1387
","1403
","1391
","1422
","1422
","1425
","6213
","6465
","6258
","6252
","6294
","6536
","6549
","6424
","6252
","6027
","5494
","5106
","4821
","4573
","4211
","3822
","3425
","3090
","2781
","1
","2
","2
","2
","2
","2
","2
","3
","3
","2
","2
","3
","3
","3
","3
","3
","2
","2
","1
","0
","0
","0
","0
","0
","1
","1
","1
","1
","3
","2
","2
","6
","9
","7
","8
","13
","13
","13
","87
","108
","105
","112
","117
","132
","140
","169
","176
","190
","189
","211
","235
","246
","262
","278
","295
","403
","434
","240
","234
","225
","220
","223
","232
","226
","217
","216
","208
","181
","184
","177
","175
","166
","163
","171
","168
","169
","2256
","2415
","2333
","2397
","2385
","2650
","2599
","2623
","2797
","2872
","2712
","2659
","2556
","2498
","2418
","2280
","2138
","2068
","1865
","88
","89
","91
","88
","88
","85
","89
","87
","115
","109
","107
","109
","107
","105
","103
","96
","93
","93
","83
","8805
","9817
","9627
","9621
","9983
","9888
","10432
","10963
","11206
","11626
","10708
","10753
","10568
","10783
","11065
","11269
","11452
","11787
","11613
","01
","5558819816.93848
","899065.384760544
"
2,"2
","02
","Albacete
","26921
","26884
","26701
","26184
","26030
","26400
","26839
","27256
","27380
","27647
","27068
","25531
","24685
","23550
","22547
","21875
","21451
","21241
","20836
","488
","517
","551
","579
","603
","636
","645
","655
","662
","680
","714
","728
","733
","732
","736
","751
","782
","817
","830
","10034
","10148
","10221
","10226
","10086
","10199
","10220
","10287
","10277
","9572
","8973
","8291
","7655
","7051
","6536
","6160
","5758
","5328
","4853
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1540
","1553
","1565
","1487
","1428
","1438
","1456
","1480
","1457
","1454
","1393
","1342
","1302
","1193
","1121
","1127
","1127
","1156
","1177
","316
","329
","353
","335
","324
","335
","340
","352
","354
","379
","382
","386
","382
","380
","379
","354
","346
","344
","348
","663
","647
","616
","621
","590
","611
","615
","609
","542
","513
","508
","465
","406
","343
","289
","224
","199
","177
","129
","61
","60
","61
","63
","66
","65
","65
","64
","62
","67
","63
","62
","59
","59
","54
","30
","31
","30
","27
","13819
","13630
","13334
","12873
","12933
","13116
","13498
","13809
","14026
","14982
","15035
","14257
","14148
","13792
","13432
","13229
","13208
","13389
","13472
","02
","24628869196.6688
","982714.983176617
"
3,"3
","03
","Alicante
","135480
","133124
","130438
","126389
","127748
","129728
","131564
","132814
","136239
","142307
","140145
","133016
","123333
","113852
","111805
","107294
","103415
","98845
","93644
","1650
","1701
","1764
","1820
","1879
","2014
","2047
","1944
","2011
","2097
","2143
","2173
","2167
","2164
","2227
","2306
","2321
","2368
","2406
","53628
","54284
","54235
","53713
","52587
","52510
","52222
","52099
","53383
","55060
","52835
","49088
","44430
","39560
","37476
","35192
","33098
","30553
","27904
","6
","6
","6
","6
","6
","7
","7
","8
","12
","13
","14
","15
","15
","19
","17
","18
","18
","21
","22
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","3
","2
","2
","3
","2
","2
","1
","1
","5260
","5184
","5243
","4978
","4838
","5077
","5172
","5260
","5402
","5391
","5114
","4783
","4188
","3680
","3234
","3097
","3001
","2724
","2588
","655
","632
","616
","607
","599
","609
","629
","646
","692
","735
","742
","752
","746
","729
","750
","728
","675
","632
","601
","3688
","4052
","4248
","4107
","4004
","4011
","3985
","3853
","3721
","3558
","3333
","3081
","2721
","2455
","2278
","2072
","1963
","1858
","1647
","269
","259
","259
","253
","250
","244
","243
","240
","233
","228
","219
","219
","194
","194
","192
","122
","126
","124
","120
","70323
","67005
","64066
","60904
","63584
","65255
","67258
","68763
","70783
","75223
","75743
","72902
","68870
","65049
","65628
","63757
","62211
","60564
","58355
","03
","9507175453.60967
","698396.737290055
"
4,"4
","04
","Almería
","42329
","41212
","40327
","39530
","40549
","41021
","41581
","42546
","43501
","45130
","43970
","40871
","38766
","36260
","33947
","32099
","30540
","29913
","28725
","617
","643
","654
","711
","737
","765
","784
","781
","804
","825
","849
","863
","889
","866
","860
","875
","880
","891
","908
","15313
","15156
","15020
","15102
","14901
","14884
","15034
","15048
","15359
","15699
","14811
","13228
","11758
","10363
","9323
","8430
","7590
","6947
","6244
","0
","0
","0
","1
","1
","1
","1
","1
","1
","2
","2
","4
","3
","5
","6
","6
","7
","7
","7
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","0
","0
","1
","1
","0
","1132
","1120
","1135
","1059
","1020
","1108
","1151
","1239
","1310
","1350
","1328
","1299
","1197
","1138
","953
","861
","837
","785
","744
","441
","448
","464
","471
","472
","493
","512
","519
","561
","598
","600
","588
","585
","565
","561
","526
","492
","447
","405
","1144
","1204
","1216
","1165
","1158
","1189
","1212
","1187
","1100
","1008
","911
","824
","761
","738
","680
","616
","556
","531
","460
","65
","71
","68
","67
","67
","64
","66
","64
","63
","63
","64
","59
","59
","62
","60
","35
","35
","33
","31
","23616
","22569
","21769
","20953
","22191
","22515
","22819
","23705
","24301
","25583
","25403
","24004
","23512
","22522
","21504
","20750
","20142
","20271
","19926
","04
","13855293063.9255
","764383.039721032
"
5,"5
","05
","Ávila
","10178
","10080
","10175
","10046
","10316
","10735
","10740
","11414
","11455
","11708
","11434
","10900
","10611
","10319
","10211
","9855
","9842
","9904
","9742
","130
","139
","143
","154
","165
","176
","179
","184
","186
","186
","186
","194
","206
","203
","205
","204
","210
","214
","211
","2554
","2516
","2580
","2564
","2528
","2519
","2465
","2605
","2625
","2607
","2406
","2205
","2043
","1886
","1770
","1656
","1581
","1475
","1351
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","648
","655
","700
","698
","716
","772
","792
","861
","811
","806
","770
","737
","719
","681
","663
","647
","628
","613
","604
","66
","70
","72
","73
","70
","77
","78
","80
","81
","83
","84
","84
","86
","92
","95
","95
","95
","97
","98
","235
","238
","237
","219
","209
","218
","210
","412
","212
","198
","186
","161
","146
","119
","104
","79
","64
","59
","37
","59
","56
","56
","60
","60
","62
","61
","88
","58
","59
","58
","56
","58
","58
","54
","37
","36
","36
","36
","6485
","6405
","6386
","6277
","6567
","6910
","6955
","7184
","7482
","7769
","7744
","7463
","7353
","7280
","7320
","7137
","7228
","7410
","7405
","05
","13966290552.5479
","825947.526117769
"
6,"6
","06
","Badajoz
","40773
","40494
","39640
","38631
","38822
","39433
","39426
","39739
","40874
","41358
","40168
","38045
","37052
","34972
","34866
","34044
","33316
","33970
","31708
","639
","673
","707
","731
","755
","796
","792
","815
","852
","864
","869
","883
","881
","857
","892
","915
","924
","921
","912
","10710
","10721
","10598
","10471
","10361
","10152
","9823
","9877
","10044
","9888
","9203
","8224
","7470
","6745
","6347
","5932
","5532
","5237
","4779
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","2182
","2128
","2022
","1922
","1846
","1953
","1985
","2040
","2150
","2155
","2033
","1972
","1823
","1644
","1545
","1487
","1466
","1446
","1332
","468
","458
","471
","461
","464
","468
","468
","483
","487
","515
","516
","537
","536
","525
","559
","572
","564
","550
","518
","1758
","2128
","2288
","2194
","2094
","2149
","2114
","1997
","1903
","1716
","1476
","1329
","1167
","1011
","922
","773
","687
","649
","463
","120
","118
","116
","114
","120
","120
","124
","129
","113
","114
","116
","113
","114
","115
","118
","76
","77
","80
","80
","24896
","24268
","23438
","22738
","23182
","23795
","24119
","24397
","25324
","26105
","25954
","24986
","25060
","24074
","24482
","24288
","24065
","25085
","23623
","06
","35803975339.5203
","1452266.34287763
"
7,"7
","07
","Balears, Illes
","93067
","89341
","87111
","84270
","85044
","85372
","87461
","89562
","91826
","93335
","91254
","88027
","87024
","85425
","75951
","73358
","71424
","69574
","67132
","2351
","2434
","2523
","2596
","2697
","2872
","2931
","3011
","3168
","3283
","3375
","3471
","3562
","3603
","3639
","3742
","3842
","3964
","4088
","34168
","33090
","32461
","31945
","31931
","31475
","31887
","32679
","33078
","32804
","30619
","28657
","26395
","24418
","21828
","20178
","18775
","17076
","15290
","1
","1
","2
","2
","3
","3
","2
","3
","4
","3
","4
","3
","4
","4
","3
","4
","5
","6
","7
","5
","5
","5
","5
","5
","8
","5
","3
","3
","4
","5
","8
","8
","8
","6
","6
","7
","6
","4
","5791
","5778
","5922
","5706
","5684
","5927
","5941
","5907
","6305
","6249
","6152
","6202
","5955
","5922
","4785
","4635
","4587
","4424
","4304
","171
","174
","173
","175
","174
","180
","178
","188
","203
","195
","190
","199
","203
","210
","214
","207
","199
","185
","189
","2769
","3003
","3063
","2920
","2824
","2875
","2894
","2943
","2806
","2723
","2663
","2533
","2306
","2231
","1859
","1633
","1541
","1484
","1275
","263
","248
","246
","243
","248
","250
","252
","252
","253
","245
","244
","227
","208
","204
","214
","140
","131
","116
","115
","47548
","44608
","42716
","40678
","41478
","41782
","43371
","44576
","46006
","47829
","48002
","46727
","48383
","48825
","43403
","42813
","42337
","42313
","41860
","07
","8397658655.33948
","1885856.05039272
"
8,"8
","08
","Barcelona
","460778
","450451
","441119
","434914
","438385
","446147
","453485
","458918
","467385
","477942
","469432
","444410
","436294
","417425
","397693
","391573
","374027
","373806
","374414
","14887
","15370
","16061
","16851
","17686
","19167
","19704
","19527
","20389
","21119
","21799
","22197
","24422
","24889
","25627
","26487
","27303
","28193
","29109
","166979
","163127
","158992
","158415
","156939
","156348
","156622
","157638
","158608
","159782
","150810
","137122
","132929
","121590
","112144
","105761
","96401
","88405
","82054
","20
","20
","24
","25
","33
","31
","38
","40
","44
","53
","68
","69
","69
","82
","77
","86
","95
","106
","118
","20
","21
","21
","19
","18
","20
","21
","23
","18
","26
","24
","24
","23
","25
","24
","27
","30
","30
","28
","13984
","12940
","12292
","11514
","10697
","10348
","9601
","8734
","7829
","6786
","5532
","4330
","3107
","2454
","2141
","2087
","2106
","2200
","2292
","1968
","1951
","1997
","2045
","2130
","2199
","2300
","2380
","2508
","2701
","2841
","2968
","3534
","3688
","3707
","3883
","3913
","4051
","4158
","25036
","33344
","36358
","35368
","34343
","36583
","36686
","36447
","35794
","34697
","32402
","29380
","28666
","26495
","24078
","22446
","20761
","19852
","19279
","893
","876
","875
","885
","880
","858
","860
","863
","875
","865
","851
","873
","856
","848
","849
","580
","560
","574
","563
","236991
","222802
","214499
","209792
","215659
","220593
","227653
","233266
","241320
","251913
","255105
","247447
","242688
","237354
","229046
","230216
","222858
","230395
","236813
","08
","13892170189.5469
","1078129.1918187
"
9,"9
","09
","Burgos
","25811
","25583
","25301
","24761
","25072
","25196
","25208
","25397
","25567
","25891
","25372
","24504
","23733
","22882
","22159
","21586
","21315
","21493
","20882
","662
","696
","705
","715
","740
","771
","791
","780
","806
","823
","844
","851
","855
","858
","863
","883
","890
","906
","917
","7404
","7273
","7179
","7165
","7076
","6959
","6887
","6871
","6823
","6847
","6445
","6064
","5644
","5198
","4792
","4510
","4271
","4007
","3674
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","816
","637
","616
","582
","560
","529
","519
","478
","449
","401
","386
","375
","321
","279
","235
","244
","249
","280
","288
","169
","175
","179
","185
","190
","182
","182
","181
","177
","179
","171
","178
","170
","173
","176
","178
","172
","169
","160
","3574
","4159
","4196
","3971
","3795
","3752
","3618
","3484
","3278
","3127
","2908
","2757
","2482
","2233
","2071
","1983
","1903
","1857
","1681
","126
","129
","131
","134
","130
","130
","126
","124
","122
","124
","122
","125
","122
","122
","119
","92
","91
","92
","87
","13060
","12514
","12295
","12009
","12581
","12873
","13085
","13479
","13911
","14389
","14495
","14153
","14138
","14018
","13902
","13695
","13738
","14181
","14074
","09
","26203492774.134
","1530155.70044239
"
