OBJECTID,Codigo,Provincia,Total,Anio,TipoEmpresa,cod,Shape__Area,Shape__Length,TipoHipoteca,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
26.0,26.0,"Rioja, La",666.0,2017,Sociedad_Anonima,26.0,9220827614.74902,780721.292206845,Importe_hipotecas,26779.0,25946.0,24089.0,16988.0,24018.0,17756.0,43643.0,17830.0,25281.0,23571.0,21186.0,19994.0
27.0,27.0,Lugo,222.0,2017,Sociedad_Anonima,27.0,18447358220.0669,987981.96377954,Importe_hipotecas,14242.0,16661.0,13422.0,11035.0,8366.0,22842.0,21086.0,13109.0,12189.0,19971.0,10112.0,3948.0
28.0,28.0,Madrid,24823.0,2017,Sociedad_Anonima,28.0,13901299004.0898,997240.028194125,Importe_hipotecas,1404383.0,1440522.0,1162658.0,1190212.0,1860802.0,1407849.0,1173087.0,1284008.0,1603660.0,1663146.0,1354097.0,1015187.0
29.0,29.0,Málaga,1658.0,2017,Sociedad_Anonima,29.0,11424758604.5872,780458.06915762,Importe_hipotecas,210996.0,241729.0,230631.0,248432.0,285160.0,254792.0,248499.0,264405.0,285363.0,263025.0,390306.0,189769.0
30.0,30.0,Murcia,1426.0,2017,Sociedad_Anonima,30.0,18250070913.3211,924896.652056495,Importe_hipotecas,94274.0,98986.0,85071.0,64427.0,79655.0,110994.0,84274.0,71693.0,109396.0,72546.0,81852.0,65589.0
31.0,31.0,Navarra,1214.0,2017,Sociedad_Anonima,31.0,19290430805.6213,1124671.5864665,Importe_hipotecas,74009.0,82681.0,83532.0,35615.0,96979.0,56866.0,47629.0,67225.0,63798.0,45262.0,50080.0,52231.0
32.0,32.0,Ourense,355.0,2017,Sociedad_Anonima,32.0,13264171450.1428,808496.1696782409,Importe_hipotecas,9313.0,7523.0,6959.0,8100.0,14093.0,12279.0,9899.0,12802.0,10765.0,9379.0,9852.0,8874.0
33.0,33.0,Asturias,1468.0,2017,Sociedad_Anonima,33.0,20019595252.5254,1234891.11505138,Importe_hipotecas,73539.0,205713.0,102667.0,51824.0,63298.0,72540.0,55486.0,60890.0,85276.0,68001.0,72485.0,66822.0
34.0,34.0,Palencia,191.0,2017,Sociedad_Anonima,34.0,14760770924.6606,970566.905500649,Importe_hipotecas,7365.0,8454.0,9975.0,5948.0,7976.0,8563.0,10997.0,10196.0,7814.0,11027.0,6234.0,4781.0
35.0,35.0,"Palmas, Las",1335.0,2017,Sociedad_Anonima,35.0,5250341373.94092,1059425.57153025,Importe_hipotecas,90488.0,69271.0,87289.0,63278.0,206194.0,139397.0,83393.0,147792.0,86769.0,117151.0,86323.0,91569.0
36.0,36.0,Pontevedra,1146.0,2017,Sociedad_Anonima,36.0,8246811088.907709,1089081.49719412,Importe_hipotecas,51024.0,53626.0,48176.0,34729.0,55349.0,48825.0,44008.0,60624.0,49106.0,53120.0,45105.0,37519.0
37.0,37.0,Salamanca,290.0,2017,Sociedad_Anonima,37.0,21576649161.0889,949093.601585701,Importe_hipotecas,20958.0,26365.0,23633.0,17934.0,23035.0,20807.0,24314.0,18214.0,16759.0,29932.0,20287.0,20596.0
38.0,38.0,Santa Cruz de Tenerife,1065.0,2017,Sociedad_Anonima,38.0,4370210415.83691,964270.952057753,Importe_hipotecas,76208.0,60407.0,57233.0,57239.0,90832.0,68815.0,82525.0,72266.0,73920.0,110595.0,62704.0,118326.0
39.0,39.0,Cantabria,721.0,2017,Sociedad_Anonima,39.0,10025234336.8828,1030723.27314431,Importe_hipotecas,50156.0,53361.0,49519.0,46218.0,39922.0,34714.0,33180.0,40962.0,46655.0,45116.0,44042.0,26624.0
40.0,40.0,Segovia,218.0,2017,Sociedad_Anonima,40.0,12228511132.8375,682490.780198299,Importe_hipotecas,7543.0,9021.0,12278.0,8290.0,6852.0,7497.0,9705.0,13736.0,10718.0,6907.0,8580.0,7815.0
