OBJECTID,Codigo,Texto,Total,Anio,TipoEmpresa,cod,Shape__Area,Shape__Length,TipoHipoteca,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
15.0,15.0,"Coruña, A",82403.0,2017,Total,15.0,14932452746.9961,1672703.78439944,Importe_hipotecas,62161.0,109692.0,59504.0,54899.0,69150.0,61674.0,53426.0,118373.0,51686.0,58973.0,67629.0,53655.0
15.0,15.0,"Coruña, A",82403.0,2017,Total,15.0,14932452746.9961,1672703.78439944,Numero_hipotecas,615.0,690.0,595.0,538.0,665.0,673.0,611.0,577.0,632.0,590.0,571.0,510.0
16.0,16.0,Cuenca,13625.0,2017,Total,16.0,29155970159.0682,1004195.48622818,Importe_hipotecas,14583.0,6949.0,15367.0,7703.0,7972.0,13169.0,10974.0,11342.0,11366.0,9209.0,4511.0,8137.0
16.0,16.0,Cuenca,13625.0,2017,Total,16.0,29155970159.0682,1004195.48622818,Numero_hipotecas,155.0,82.0,144.0,113.0,104.0,163.0,153.0,103.0,107.0,85.0,80.0,112.0
17.0,17.0,Girona,62036.0,2017,Total,17.0,10752045126.223,1070140.38049906,Importe_hipotecas,73285.0,74974.0,115810.0,59951.0,85708.0,81357.0,83799.0,99075.0,74583.0,71408.0,55503.0,43899.0
17.0,17.0,Girona,62036.0,2017,Total,17.0,10752045126.223,1070140.38049906,Numero_hipotecas,594.0,607.0,754.0,479.0,688.0,698.0,593.0,620.0,590.0,584.0,508.0,369.0
18.0,18.0,Granada,58436.0,2017,Total,18.0,20029967206.933,901313.088636386,Importe_hipotecas,76690.0,69138.0,95977.0,63307.0,72612.0,90361.0,66030.0,81856.0,75836.0,73229.0,59860.0,71097.0
18.0,18.0,Granada,58436.0,2017,Total,18.0,20029967206.933,901313.088636386,Numero_hipotecas,673.0,727.0,886.0,753.0,839.0,1254.0,717.0,783.0,796.0,789.0,603.0,682.0
19.0,19.0,Guadalajara,13274.0,2017,Total,19.0,21341530340.3421,1082690.53386729,Importe_hipotecas,18655.0,28417.0,26864.0,13919.0,41115.0,94453.0,17791.0,36487.0,32572.0,17171.0,20381.0,29687.0
19.0,19.0,Guadalajara,13274.0,2017,Total,19.0,21341530340.3421,1082690.53386729,Numero_hipotecas,216.0,174.0,199.0,150.0,199.0,281.0,223.0,235.0,265.0,197.0,180.0,172.0
20.0,20.0,Gipuzkoa,48284.0,2017,Total,20.0,3756971201.4628897,476274.62841412204,Importe_hipotecas,112631.0,98195.0,114086.0,126600.0,128187.0,104830.0,94309.0,90065.0,105207.0,62028.0,81629.0,100099.0
20.0,20.0,Gipuzkoa,48284.0,2017,Total,20.0,3756971201.4628897,476274.62841412204,Numero_hipotecas,707.0,496.0,682.0,448.0,661.0,657.0,468.0,536.0,545.0,418.0,589.0,393.0
21.0,21.0,Huelva,24424.0,2017,Total,21.0,16153285348.281,835365.683870377,Importe_hipotecas,32052.0,33778.0,32621.0,34854.0,34976.0,36684.0,25510.0,36003.0,44457.0,26228.0,45172.0,28776.0
21.0,21.0,Huelva,24424.0,2017,Total,21.0,16153285348.281,835365.683870377,Numero_hipotecas,397.0,397.0,426.0,343.0,432.0,439.0,338.0,405.0,519.0,366.0,465.0,302.0
22.0,22.0,Huesca,16464.0,2017,Total,22.0,28522889036.2312,1093487.92655755,Importe_hipotecas,24581.0,30620.0,13363.0,21509.0,23891.0,25784.0,17356.0,13953.0,17968.0,13718.0,25616.0,10975.0
22.0,22.0,Huesca,16464.0,2017,Total,22.0,28522889036.2312,1093487.92655755,Numero_hipotecas,249.0,355.0,187.0,139.0,254.0,286.0,168.0,170.0,183.0,138.0,211.0,118.0
23.0,23.0,Jaén,33842.0,2017,Total,23.0,21780119684.2118,848387.076715209,Importe_hipotecas,37756.0,26703.0,24409.0,30372.0,40697.0,39258.0,24996.0,47538.0,30825.0,30147.0,34337.0,29945.0
23.0,23.0,Jaén,33842.0,2017,Total,23.0,21780119684.2118,848387.076715209,Numero_hipotecas,424.0,364.0,375.0,382.0,508.0,485.0,325.0,411.0,426.0,411.0,453.0,331.0
24.0,24.0,León,31173.0,2017,Total,24.0,28794563640.7422,1141075.69540809,Importe_hipotecas,22575.0,34509.0,28227.0,15109.0,37256.0,20615.0,20341.0,17818.0,28921.0,19337.0,18612.0,9607.0
24.0,24.0,León,31173.0,2017,Total,24.0,28794563640.7422,1141075.69540809,Numero_hipotecas,284.0,284.0,287.0,196.0,340.0,256.0,247.0,240.0,259.0,224.0,208.0,138.0
25.0,25.0,Lleida,33623.0,2017,Total,25.0,22090712889.8223,1149186.28726613,Importe_hipotecas,24282.0,32952.0,27278.0,18857.0,25667.0,30335.0,23332.0,22427.0,25035.0,27153.0,23292.0,31095.0
25.0,25.0,Lleida,33623.0,2017,Total,25.0,22090712889.8223,1149186.28726613,Numero_hipotecas,294.0,310.0,290.0,210.0,283.0,327.0,295.0,227.0,234.0,237.0,240.0,226.0
26.0,26.0,"Rioja, La",23167.0,2017,Total,26.0,9220827614.74902,780721.292206845,Importe_hipotecas,26779.0,25946.0,24089.0,16988.0,24018.0,17756.0,43643.0,17830.0,25281.0,23571.0,21186.0,19994.0
26.0,26.0,"Rioja, La",23167.0,2017,Total,26.0,9220827614.74902,780721.292206845,Numero_hipotecas,266.0,239.0,306.0,188.0,283.0,402.0,295.0,238.0,493.0,330.0,226.0,220.0
27.0,27.0,Lugo,24549.0,2017,Total,27.0,18447358220.0669,987981.96377954,Importe_hipotecas,14242.0,16661.0,13422.0,11035.0,8366.0,22842.0,21086.0,13109.0,12189.0,19971.0,10112.0,3948.0
27.0,27.0,Lugo,24549.0,2017,Total,27.0,18447358220.0669,987981.96377954,Numero_hipotecas,179.0,189.0,194.0,147.0,84.0,247.0,132.0,171.0,158.0,153.0,125.0,51.0
28.0,28.0,Madrid,526156.0,2017,Total,28.0,13901299004.0898,997240.028194125,Importe_hipotecas,1404383.0,1440522.0,1162658.0,1190212.0,1860802.0,1407849.0,1173087.0,1284008.0,1603660.0,1663146.0,1354097.0,1015187.0
28.0,28.0,Madrid,526156.0,2017,Total,28.0,13901299004.0898,997240.028194125,Numero_hipotecas,6592.0,6299.0,6023.0,4676.0,7038.0,7645.0,5792.0,5740.0,7100.0,7147.0,6265.0,4936.0
29.0,29.0,Málaga,119512.0,2017,Total,29.0,11424758604.5872,780458.06915762,Importe_hipotecas,210996.0,241729.0,230631.0,248432.0,285160.0,254792.0,248499.0,264405.0,285363.0,263025.0,390306.0,189769.0
29.0,29.0,Málaga,119512.0,2017,Total,29.0,11424758604.5872,780458.06915762,Numero_hipotecas,1683.0,1635.0,1796.0,1570.0,1809.0,2058.0,1917.0,2565.0,1884.0,1999.0,1714.0,1372.0
30.0,30.0,Murcia,93574.0,2017,Total,30.0,18250070913.3211,924896.652056495,Importe_hipotecas,94274.0,98986.0,85071.0,64427.0,79655.0,110994.0,84274.0,71693.0,109396.0,72546.0,81852.0,65589.0
30.0,30.0,Murcia,93574.0,2017,Total,30.0,18250070913.3211,924896.652056495,Numero_hipotecas,1054.0,1095.0,1017.0,713.0,1051.0,1110.0,959.0,939.0,1174.0,828.0,880.0,775.0
31.0,31.0,Navarra,44120.0,2017,Total,31.0,19290430805.6213,1124671.5864665,Importe_hipotecas,74009.0,82681.0,83532.0,35615.0,96979.0,56866.0,47629.0,67225.0,63798.0,45262.0,50080.0,52231.0
31.0,31.0,Navarra,44120.0,2017,Total,31.0,19290430805.6213,1124671.5864665,Numero_hipotecas,597.0,440.0,539.0,358.0,525.0,515.0,445.0,567.0,431.0,408.0,361.0,341.0
32.0,32.0,Ourense,23140.0,2017,Total,32.0,13264171450.1428,808496.1696782409,Importe_hipotecas,9313.0,7523.0,6959.0,8100.0,14093.0,12279.0,9899.0,12802.0,10765.0,9379.0,9852.0,8874.0
32.0,32.0,Ourense,23140.0,2017,Total,32.0,13264171450.1428,808496.1696782409,Numero_hipotecas,126.0,116.0,105.0,80.0,141.0,137.0,99.0,163.0,127.0,116.0,90.0,117.0
33.0,33.0,Asturias,68368.0,2017,Total,33.0,20019595252.5254,1234891.11505138,Importe_hipotecas,73539.0,205713.0,102667.0,51824.0,63298.0,72540.0,55486.0,60890.0,85276.0,68001.0,72485.0,66822.0
33.0,33.0,Asturias,68368.0,2017,Total,33.0,20019595252.5254,1234891.11505138,Numero_hipotecas,776.0,723.0,735.0,511.0,763.0,795.0,652.0,731.0,688.0,646.0,698.0,521.0
34.0,34.0,Palencia,10021.0,2017,Total,34.0,14760770924.6606,970566.905500649,Importe_hipotecas,7365.0,8454.0,9975.0,5948.0,7976.0,8563.0,10997.0,10196.0,7814.0,11027.0,6234.0,4781.0
34.0,34.0,Palencia,10021.0,2017,Total,34.0,14760770924.6606,970566.905500649,Numero_hipotecas,84.0,89.0,93.0,80.0,115.0,108.0,85.0,87.0,80.0,89.0,95.0,72.0
35.0,35.0,"Palmas, Las",73570.0,2017,Total,35.0,5250341373.94092,1059425.57153025,Importe_hipotecas,90488.0,69271.0,87289.0,63278.0,206194.0,139397.0,83393.0,147792.0,86769.0,117151.0,86323.0,91569.0
35.0,35.0,"Palmas, Las",73570.0,2017,Total,35.0,5250341373.94092,1059425.57153025,Numero_hipotecas,785.0,685.0,815.0,589.0,946.0,1238.0,917.0,793.0,838.0,747.0,731.0,703.0
36.0,36.0,Pontevedra,68831.0,2017,Total,36.0,8246811088.907709,1089081.49719412,Importe_hipotecas,51024.0,53626.0,48176.0,34729.0,55349.0,48825.0,44008.0,60624.0,49106.0,53120.0,45105.0,37519.0
36.0,36.0,Pontevedra,68831.0,2017,Total,36.0,8246811088.907709,1089081.49719412,Numero_hipotecas,551.0,606.0,544.0,388.0,558.0,506.0,448.0,541.0,528.0,477.0,448.0,415.0
37.0,37.0,Salamanca,22347.0,2017,Total,37.0,21576649161.0889,949093.601585701,Importe_hipotecas,20958.0,26365.0,23633.0,17934.0,23035.0,20807.0,24314.0,18214.0,16759.0,29932.0,20287.0,20596.0
37.0,37.0,Salamanca,22347.0,2017,Total,37.0,21576649161.0889,949093.601585701,Numero_hipotecas,212.0,203.0,211.0,167.0,239.0,364.0,279.0,170.0,180.0,211.0,170.0,191.0
38.0,38.0,Santa Cruz de Tenerife,68025.0,2017,Total,38.0,4370210415.83691,964270.952057753,Importe_hipotecas,76208.0,60407.0,57233.0,57239.0,90832.0,68815.0,82525.0,72266.0,73920.0,110595.0,62704.0,118326.0
38.0,38.0,Santa Cruz de Tenerife,68025.0,2017,Total,38.0,4370210415.83691,964270.952057753,Numero_hipotecas,929.0,769.0,746.0,759.0,636.0,803.0,643.0,920.0,714.0,580.0,659.0,1275.0
39.0,39.0,Cantabria,38459.0,2017,Total,39.0,10025234336.8828,1030723.27314431,Importe_hipotecas,50156.0,53361.0,49519.0,46218.0,39922.0,34714.0,33180.0,40962.0,46655.0,45116.0,44042.0,26624.0
39.0,39.0,Cantabria,38459.0,2017,Total,39.0,10025234336.8828,1030723.27314431,Numero_hipotecas,473.0,702.0,460.0,380.0,399.0,368.0,338.0,374.0,405.0,423.0,439.0,309.0
40.0,40.0,Segovia,10738.0,2017,Total,40.0,12228511132.8375,682490.780198299,Importe_hipotecas,7543.0,9021.0,12278.0,8290.0,6852.0,7497.0,9705.0,13736.0,10718.0,6907.0,8580.0,7815.0
40.0,40.0,Segovia,10738.0,2017,Total,40.0,12228511132.8375,682490.780198299,Numero_hipotecas,83.0,95.0,112.0,94.0,91.0,83.0,83.0,106.0,114.0,80.0,68.0,76.0
41.0,41.0,Sevilla,115932.0,2017,Total,41.0,22302112098.7773,1151383.07981696,Importe_hipotecas,148680.0,134714.0,211818.0,177464.0,162499.0,166894.0,129145.0,153712.0,204002.0,114013.0,146167.0,117105.0
41.0,41.0,Sevilla,115932.0,2017,Total,41.0,22302112098.7773,1151383.07981696,Numero_hipotecas,1384.0,1194.0,1381.0,1083.0,1354.0,1473.0,1190.0,1151.0,1827.0,1097.0,1393.0,870.0
42.0,42.0,Soria,5741.0,2017,Total,42.0,18457978154.5591,887721.466661127,Importe_hipotecas,10159.0,3752.0,3163.0,9729.0,3967.0,11232.0,2424.0,6609.0,11552.0,5172.0,6870.0,4031.0
42.0,42.0,Soria,5741.0,2017,Total,42.0,18457978154.5591,887721.466661127,Numero_hipotecas,64.0,52.0,41.0,65.0,65.0,100.0,34.0,37.0,25.0,41.0,44.0,29.0
43.0,43.0,Tarragona,52544.0,2017,Total,43.0,11107383509.1959,934594.116306717,Importe_hipotecas,58522.0,40326.0,67813.0,45146.0,63321.0,61504.0,57161.0,66109.0,87414.0,114235.0,58113.0,56062.0
43.0,43.0,Tarragona,52544.0,2017,Total,43.0,11107383509.1959,934594.116306717,Numero_hipotecas,601.0,500.0,563.0,422.0,646.0,703.0,527.0,618.0,628.0,532.0,605.0,582.0
44.0,44.0,Teruel,9295.0,2017,Total,44.0,25764193799.5302,1167749.0880056003,Importe_hipotecas,8296.0,11461.0,6232.0,5216.0,5570.0,7887.0,8844.0,6938.0,17677.0,12253.0,6366.0,6658.0
44.0,44.0,Teruel,9295.0,2017,Total,44.0,25764193799.5302,1167749.0880056003,Numero_hipotecas,155.0,198.0,89.0,46.0,61.0,69.0,49.0,27.0,62.0,97.0,70.0,73.0
45.0,45.0,Toledo,42878.0,2017,Total,45.0,26065010226.1974,1233071.99926331,Importe_hipotecas,46943.0,43647.0,49229.0,34637.0,51416.0,47532.0,110633.0,59621.0,36637.0,36183.0,48132.0,39339.0
45.0,45.0,Toledo,42878.0,2017,Total,45.0,26065010226.1974,1233071.99926331,Numero_hipotecas,577.0,483.0,511.0,447.0,523.0,494.0,522.0,539.0,399.0,441.0,459.0,407.0
46.0,46.0,Valencia/Valéncia,174999.0,2017,Total,46.0,18110130397.9234,1006499.31881275,Importe_hipotecas,179159.0,211997.0,203470.0,149539.0,175003.0,248991.0,139631.0,177383.0,205822.0,190476.0,155479.0,138733.0
46.0,46.0,Valencia/Valéncia,174999.0,2017,Total,46.0,18110130397.9234,1006499.31881275,Numero_hipotecas,1927.0,1796.0,2009.0,1466.0,2174.0,2102.0,1615.0,1757.0,2260.0,1549.0,1610.0,1468.0
47.0,47.0,Valladolid,33967.0,2017,Total,47.0,14531327306.3015,993224.077367262,Importe_hipotecas,34443.0,55862.0,40151.0,28768.0,41145.0,52361.0,31826.0,35881.0,46367.0,34747.0,37365.0,30864.0
47.0,47.0,Valladolid,33967.0,2017,Total,47.0,14531327306.3015,993224.077367262,Numero_hipotecas,347.0,373.0,373.0,326.0,382.0,395.0,409.0,422.0,574.0,324.0,379.0,240.0
48.0,48.0,Bizkaia,73488.0,2017,Total,48.0,4161383760.41016,618804.57009096,Importe_hipotecas,151314.0,210203.0,187874.0,116808.0,142323.0,156117.0,127760.0,135897.0,182282.0,120926.0,135113.0,100508.0
48.0,48.0,Bizkaia,73488.0,2017,Total,48.0,4161383760.41016,618804.57009096,Numero_hipotecas,996.0,999.0,1183.0,672.0,1076.0,1053.0,771.0,988.0,1085.0,812.0,1015.0,633.0
49.0,49.0,Zamora,11643.0,2017,Total,49.0,18976873417.3408,1017874.53482692,Importe_hipotecas,9160.0,7906.0,15299.0,4983.0,7969.0,14462.0,5603.0,7727.0,6016.0,9049.0,19719.0,6537.0
49.0,49.0,Zamora,11643.0,2017,Total,49.0,18976873417.3408,1017874.53482692,Numero_hipotecas,110.0,106.0,118.0,60.0,150.0,97.0,91.0,88.0,73.0,90.0,133.0,67.0
50.0,50.0,Zaragoza,65144.0,2017,Total,50.0,30937790469.125,1582276.45562791,Importe_hipotecas,74540.0,76620.0,113983.0,98233.0,150871.0,61035.0,101187.0,61150.0,100409.0,58748.0,95053.0,72568.0
50.0,50.0,Zaragoza,65144.0,2017,Total,50.0,30937790469.125,1582276.45562791,Numero_hipotecas,832.0,707.0,692.0,537.0,1200.0,660.0,924.0,692.0,850.0,553.0,767.0,621.0
1.0,1.0,Araba/Álava,20034.0,2016,Total,1.0,5558819816.938479,899065.384760544,Importe_hipotecas,42049.0,58207.0,37599.0,28861.0,53815.0,28969.0,29093.0,10882.0,35943.0,24863.0,31523.0,22448.0
1.0,1.0,Araba/Álava,20034.0,2016,Total,1.0,5558819816.938479,899065.384760544,Numero_hipotecas,197.0,293.0,216.0,227.0,262.0,285.0,221.0,73.0,251.0,177.0,252.0,206.0
2.0,2.0,Albacete,26884.0,2016,Total,2.0,24628869196.6688,982714.9831766171,Importe_hipotecas,24405.0,33548.0,32004.0,53877.0,36052.0,29174.0,14807.0,21081.0,28983.0,17582.0,15614.0,20038.0
